Argentina,Disney,2/15/18,"$1,600,889 ",52.30%,"$3,059,469 ",11/25/18
Australia,Disney,2/15/18,"$8,323,490 ",26.10%,"$31,939,868 ",10/14/18
Austria,Disney,2/15/18,"$801,532 ",28.20%,"$2,839,865 ",8/19/18
Belgium,Disney,2/14/18,"$1,234,874 ",32.10%,"$3,851,510 ",6/3/18
Bolivia,WB,2/15/18,"$283,193 ",21.60%,"$1,312,260 ",5/6/18
Brazil,Disney,2/15/18,"$9,539,422 ",25.80%,"$36,942,425 ",10/28/18
Bulgaria,Forum,2/16/18,"$188,715 ",29.50%,"$640,668 ",4/15/18
Chile,Disney,2/15/18,"$1,156,408 ",23.40%,"$4,942,845 ",5/13/18
China,Disney,3/9/18,"$65,131,851 ",62%,"$105,062,459 ",4/8/18
Colombia,Disney,2/15/18,"$1,895,472 ",27.60%,"$6,865,078 ",9/9/18
Croatia,2i Film,2/15/18,-,-,"$446,454 ",4/8/18
Czech Republic,Falcon,2/15/18,"$688,746 ",32.70%,"$2,104,610 ",4/22/18
Denmark,Disney,2/15/18,"$1,295,969 ",27%,"$4,801,806 ",6/10/18
Finland,Disney,2/16/18,"$432,022 ",19.60%,"$2,202,472 ",7/1/18
France,Disney,2/14/18,"$7,627,163 ",23%,"$33,114,492 ",9/16/18
Germany,Disney,2/15/18,"$5,860,941 ",25.10%,"$23,392,484 ",9/30/18
Greece,Feelgood,2/15/18,"$339,643 ",27.50%,"$1,236,996 ",4/29/18
Hong Kong,Disney,2/13/18,"$3,781,994 ",43.80%,"$8,636,071 ",4/22/18
Hungary,Forum,2/15/18,"$549,584 ",35.10%,"$1,565,256 ",5/20/18
Iceland,Samfilm,2/16/18,"$145,544 ",29.20%,"$499,124 ",5/20/18
India,Disney,2/16/18,"$3,874,526 ",36.30%,"$10,668,490 ",4/15/18
Indonesia,Disney,2/14/18,"$6,223,814 ",50%,"$12,448,743 ",3/25/18
Italy,Disney,2/14/18,"$2,913,258 ",32.50%,"$8,953,417 ",8/19/18
Japan,Disney,3/1/18,"$2,929,314 ",20%,"$14,655,352 ",8/26/18
Lithuania,-,2/16/18,"$71,125 ",30.60%,"$232,647 ",4/1/18
Malaysia,Disney,2/14/18,"$4,713,624 ",46%,"$10,251,556 ",5/20/18
Mexico,Disney,2/16/18,"$9,207,156 ",32.50%,"$28,322,788 ",5/6/18
Netherlands,Disney,2/14/18,"$2,396,540 ",24%,"$9,975,474 ",7/15/18
New Zealand,Disney,2/15/18,"$1,473,480 ",27.70%,"$5,311,394 ",9/16/18
Norway,Disney,2/14/18,"$902,177 ",21.30%,"$4,245,447 ",7/1/18
Paraguay,Filmagic,2/15/18,"$114,039 ",30.30%,"$376,976 ",5/6/18
Philippines,Disney,2/14/18,"$4,951,865 ",50.80%,"$9,743,847 ",4/22/18
Poland,Disney,2/14/18,"$1,277,362 ",35.50%,"$3,601,530 ",7/1/18
Portugal,-,2/15/18,"$548,863 ",26.60%,"$2,062,652 ",5/13/18
Romania,Forum,2/16/18,"$561,368 ",29.10%,"$1,927,259 ",5/20/18
Russia - CIS,Disney,2/22/18,"$955,026 ",5%,"$19,265,532 ",7/1/18
Serbia & Montenegro,Taramount,2/15/18,-,-,"$309,632 ",3/28/18
Singapore,Disney,2/14/18,"$2,838,403 ",38.20%,"$7,429,588 ",8/12/18
Slovakia,Saturn,2/15/18,"$280,903 ",40.70%,"$690,443 ",4/15/18
Slovenia,2i Film,2/15/18,"$52,844 ",24.70%,"$213,891 ",4/29/18
South Africa,SterKine,2/16/18,"$1,449,905 ",18.10%,"$8,000,254 ",6/17/18
South Korea,Disney,2/14/18,"$25,332,202 ",59.10%,"$42,859,368 ",5/20/18
Spain,Disney,2/16/18,"$3,017,030 ",31%,"$9,716,813 ",9/16/18
Sweden,Disney,2/14/18,"$1,893,988 ",25.50%,"$7,440,220 ",7/8/18
Switzerland,Disney,2/14/18,"$982,966 ",25.60%,"$3,840,989 ",7/8/18
Taiwan,Disney,2/13/18,"$5,581,020 ",43.70%,"$12,778,780 ",5/20/18
Thailand,Disney,2/14/18,"$4,479,091 ",49.80%,"$8,996,694 ",4/8/18
Turkey,UIP,2/16/18,"$976,866 ",37.70%,"$2,589,069 ",4/22/18
Ukraine,Disney,2/15/18,"$974,941 ",44.20%,"$2,203,288 ",9/2/18
United Arab Emirates,Disney,2/15/18,"$2,215,607 ",31.80%,"$6,971,750 ",5/13/18
United Kingdom,Disney,2/13/18,"$24,916,429 ",35.30%,"$70,631,008 ",10/7/18
Uruguay,Disney,2/15/18,"$77,965 ",26.50%,"$294,091 ",9/23/18
Venezuela,Disney,2/23/18,"$108,373 ",10.60%,"$1,023,582 ",6/10/18
