Argentina,UIP,11/15/18,"$24,545 ",61.90%,"$39,660 ",12/16/18
Australia,UPI,8/16/18,"$762,120 ",24.60%,"$3,093,207 ",1/13/19
Austria,UPI,8/24/18,"$99,244 ",21.60%,"$459,432 ",12/16/18
Belgium,UPI,9/19/18,"$222,543 ",25.60%,"$869,994 ",11/25/18
Bolivia,UPI,9/6/18,"$4,838 ",57.60%,"$8,404 ",9/16/18
Brazil,UPI,11/22/18,"$158,867 ",19.80%,"$802,002 ",1/20/19
Chile,UPI,8/23/18,"$15,773 ",30.70%,"$51,366 ",10/21/18
Colombia,UPI,10/18/18,"$30,147 ",47.70%,"$63,212 ",11/25/18
Croatia,UPI,9/27/18,"$3,380 ",29%,"$11,654 ",11/18/18
Czech Republic,CinemArt,8/16/18,"$23,038 ",24.50%,"$93,941 ",9/16/18
Denmark,UPI,9/20/18,"$96,821 ",30.10%,"$321,574 ",11/11/18
Ecuador,UPI,9/14/18,"$18,944 ",42.60%,"$44,418 ",10/7/18
Estonia,UPI,8/17/18,"$12,007 ",18.10%,"$66,160 ",9/23/18
Finland,UPI,8/10/18,"$303,553 ",9.80%,"$3,090,154 ",1/20/19
France,UPI,8/22/18,"$2,323,250 ",22.30%,"$10,437,988 ",12/2/18
Germany,UPI,8/23/18,"$545,800 ",18%,"$3,034,019 ",12/16/18
Greece,UPI,9/27/18,"$29,784 ",46.20%,"$64,486 ",10/21/18
Hungary,UIP,9/27/18,"$28,878 ",37.50%,"$77,026 ",12/2/18
Israel,UPI,8/9/18,"$61,427 ",17.20%,"$358,167 ",10/21/18
Italy,UPI,9/27/18,"$467,946 ",32.60%,"$1,436,249 ",11/25/18
Mexico,UPI,1/18/19,"$80,573 ",89.80%,"$89,762 ",1/20/19
Netherlands,UPI,8/30/18,"$378,121 ",17.30%,"$2,188,819 ",12/9/18
New Zealand,UPI,8/16/18,"$99,526 ",19.50%,"$510,559 ",11/11/18
Norway,UPI,8/24/18,"$55,935 ",19%,"$294,876 ",11/4/18
Peru,UPI,8/30/18,"$13,802 ",40.60%,"$33,999 ",9/23/18
Poland,UPI,9/14/18,"$60,150 ",28%,"$214,730 ",12/16/18
Portugal,UPI,9/6/18,"$76,086 ",27.90%,"$272,814 ",1/27/19
Russia - CIS,UPI,10/4/18,"$100,799 ",49.90%,"$201,820 ",11/18/18
Serbia & Montenegro,UPI,9/27/18,"$7,197 ",50.10%,"$14,364 ",1/16/19
Singapore,UPI,10/18/18,"$13,047 ",28.60%,"$45,645 ",1/20/19
Slovakia,CinemArt,8/16/18,"$9,186 ",36.70%,"$25,004 ",9/9/18
Slovenia,Karan,9/6/18,"$7,062 ",43.40%,"$16,279 ",9/23/18
South Africa,UIP,9/7/18,"$10,996 ",24.50%,"$44,949 ",10/28/18
Spain,UPI,10/31/18,"$330,075 ",31.40%,"$1,050,490 ",1/13/19
Sweden,UPI,9/7/18,"$169,545 ",11.40%,"$1,486,456 ",1/20/19
Switzerland,UPI,8/22/18,"$267,197 ",19.10%,"$1,397,110 ",1/6/19
Trinidad & Tobago,UPI,8/29/18,"$15,921 ",49.40%,"$32,251 ",9/16/18
Turkey,UIP,9/28/18,"$15,929 ",45.70%,"$34,869 ",10/7/18
United Arab Emirates,UPI,8/16/18,"$37,179 ",69.60%,"$53,420 ",8/19/18
United Kingdom,UPI,8/24/18,"$1,419,232 ",17%,"$8,325,139 ",11/11/18
Uruguay,UPI,11/8/18,"$2,925 ",52.20%,"$5,603 ",11/25/18
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
