country,movie,total_gross,total_gross_log,x_radar,y_radar,index_radar
United Kingdom,a_star_is_born,38107402.0,17.455919099442585,-13.647587107359195,10.883587540573537,6
China,a_star_is_born,,0.0,0.0,0.0,1
United States,a_star_is_born,206361489.0,19.14513998986034,0.0,19.14513998986034,0
South Korea,a_star_is_born,3700000.0,15.123843377614453,-6.561989714507677,-13.626112046262792,4
Japan,a_star_is_born,10934060.0,16.207393245892302,7.032124382876411,-14.6023567444009,3
France,a_star_is_born,15752324.0,16.57249846790622,-16.156991330952284,-3.6877278370680706,5
Australia,a_star_is_born,24815287.0,17.02697043252213,16.600068734560445,-3.788857363091374,2
Australia,black_panther,31939868.0,17.279365567993697,16.846135797030584,-3.8450205643625375,2
United States,black_panther,700059566.0,20.36667598367308,0.0,20.36667598367308,0
France,black_panther,33114492.0,17.315481569303405,-16.881346294783818,-3.8530571307047303,5
Japan,black_panther,14655352.0,16.500316150944784,7.159218868193759,-14.866271162548722,3
South Korea,black_panther,42859368.0,17.573434802217367,-7.624827601124695,-15.833117658910755,4
United Kingdom,black_panther,70631008.0,18.072979812839264,-14.1300245996869,11.26831860250404,6
China,black_panther,105062459.0,18.47006557888913,14.440478752824616,11.5158975280994,1
South Korea,blackkklansman,,0.0,-0.0,-0.0,4
Japan,blackkklansman,,0.0,0.0,-0.0,3
Australia,blackkklansman,3093207.0,14.944718974743036,14.570023668190313,-3.325512823974473,2
China,blackkklansman,,0.0,0.0,0.0,1
France,blackkklansman,10437988.0,16.160962401539308,-15.75577333298167,-3.5961524472233974,5
United Kingdom,blackkklansman,8325139.0,15.93479029038809,-12.45832071555129,9.935179240814538,6
United States,blackkklansman,48636445.0,17.699883704957706,0.0,17.699883704957706,0
China,bohemian_rhapsody,,0.0,0.0,0.0,1
Australia,bohemian_rhapsody,35092841.0,17.37350770751944,16.93791759656675,-3.8659691611744513,2
Japan,bohemian_rhapsody,88631919.0,18.300002610291084,7.940073558414172,-16.487732634405273,3
South Korea,bohemian_rhapsody,75943744.0,18.14550341363321,-7.873038869277591,-16.348533668100597,4
France,bohemian_rhapsody,36238874.0,17.405642968016174,-16.96924715899025,-3.8731199293531033,5
United States,bohemian_rhapsody,205821056.0,19.142517689055783,0.0,19.142517689055783,0
United Kingdom,bohemian_rhapsody,66255753.0,18.009032856796278,-14.080028856244494,11.22844832755133,6
China,green_book,,0.0,0.0,0.0,1
United Kingdom,green_book,,0.0,-0.0,0.0,6
United States,green_book,49078216.0,17.708925828328095,0.0,17.708925828328095,0
Japan,green_book,,0.0,0.0,-0.0,3
South Korea,green_book,1371087.0,14.131114413861535,-6.131260759784262,-12.731694155656385,4
Australia,green_book,59714.0,10.997321777751138,10.721595960374618,-2.447134313003298,2
France,green_book,,0.0,-0.0,-0.0,5
France,roma,,0.0,-0.0,-0.0,5
United Kingdom,roma,,0.0,-0.0,0.0,6
Australia,roma,,0.0,0.0,-0.0,2
South Korea,roma,,0.0,-0.0,-0.0,4
China,roma,,0.0,0.0,0.0,1
United States,roma,0.0,-inf,,-inf,0
Japan,roma,0.0,-inf,-inf,inf,3
South Korea,the_favourite,,0.0,-0.0,-0.0,4
Japan,the_favourite,,0.0,0.0,-0.0,3
United States,the_favourite,26109876.0,17.077824191525774,0.0,17.077824191525774,0
China,the_favourite,,0.0,0.0,0.0,1
United Kingdom,the_favourite,14143910.0,16.464794700717146,-12.872694849393449,10.265631585594857,6
Australia,the_favourite,2582271.0,14.764179802278449,14.394010989712378,-3.2853390787019525,2
France,the_favourite,,0.0,-0.0,-0.0,5
United States,vice,42197631.0,17.557874639989716,0.0,17.557874639989716,0
United Kingdom,vice,66255753.0,18.009032856796278,-14.080028856244494,11.22844832755133,6
South Korea,vice,75943744.0,18.14550341363321,-7.873038869277591,-16.348533668100597,4
France,vice,36238874.0,17.405642968016174,-16.96924715899025,-3.8731199293531033,5
Australia,vice,35092841.0,17.37350770751944,16.93791759656675,-3.8659691611744513,2
China,vice,,0.0,0.0,0.0,1
Japan,vice,88631919.0,18.300002610291084,7.940073558414172,-16.487732634405273,3
