movie,variable,value,max,x_radar,y_radar,index_radar
black panther,imdb_18,80.0,1,-77.9942329745459,-17.801674716505097,5
blackkklansman,imdb_18,81.0,1,-78.96916088672772,-18.02419565046141,5
bohemian rhapsody,imdb_18,84.0,1,-81.8939446232732,-18.691758452330355,5
the favourite,imdb_18,82.0,1,-79.94408879890955,-18.246716584417726,5
green book,imdb_18,82.0,0,-79.94408879890955,-18.246716584417726,5
roma,imdb_18,85.0,1,-82.86887253545501,-18.914279386286665,5
a star is born,imdb_18,85.0,1,-82.86887253545501,-18.914279386286665,5
vice,imdb_18,78.0,1,-76.04437715018226,-17.356632848592472,5
black panther,imdb_18_29,75.0,0,-32.54128043381685,-67.57266509268143,4
blackkklansman,imdb_18_29,77.0,0,-33.40904791205197,-69.37460282848627,4
bohemian rhapsody,imdb_18_29,82.0,0,-35.578466607639754,-73.87944716799836,4
the favourite,imdb_18_29,80.0,0,-34.71069912940464,-72.07750943219354,4
green book,imdb_18_29,83.0,0,-36.012350346757316,-74.78041603590079,4
roma,imdb_18_29,82.0,0,-35.578466607639754,-73.87944716799836,4
a star is born,imdb_18_29,81.0,0,-35.1445828685222,-72.97847830009596,4
vice,imdb_18_29,71.0,0,-30.80574547734662,-63.96878962107176,4
black panther,imdb_30_44,71.0,0,30.805745477346633,-63.96878962107175,3
blackkklansman,imdb_30_44,74.0,0,32.10739669469931,-66.67169622477901,3
bohemian rhapsody,imdb_30_44,82.0,0,35.578466607639776,-73.87944716799836,3
the favourite,imdb_30_44,78.0,0,33.84293165116954,-70.27557169638868,3
green book,imdb_30_44,82.0,0,35.578466607639776,-73.87944716799836,3
roma,imdb_30_44,78.0,0,33.84293165116954,-70.27557169638868,3
a star is born,imdb_30_44,78.0,0,33.84293165116954,-70.27557169638868,3
vice,imdb_30_44,71.0,0,30.805745477346633,-63.96878962107175,3
black panther,imdb_45,71.0,0,69.21988176490947,-15.798986310898318,2
blackkklansman,imdb_45,74.0,0,72.14466550145495,-16.46654911276726,2
bohemian rhapsody,imdb_45,83.0,0,80.91901671109136,-18.46923751837409,2
the favourite,imdb_45,75.0,0,73.11959341363678,-16.689070046723575,2
green book,imdb_45,84.0,1,81.89394462327319,-18.691758452330404,2
roma,imdb_45,78.0,0,76.04437715018224,-17.35663284859252,2
a star is born,imdb_45,78.0,0,76.04437715018224,-17.35663284859252,2
vice,imdb_45,70.0,0,68.24495385272765,-15.576465376942004,2
black panther,rt_all_critics,97.0,0,-75.83765379939891,60.478510780297135,6
blackkklansman,rt_all_critics,95.0,0,-74.27399083446284,59.23153117657967,6
bohemian rhapsody,rt_all_critics,62.0,0,-48.47355191301786,38.65636771524147,6
the favourite,rt_all_critics,93.0,0,-72.71032786952678,57.9845515728622,6
green book,rt_all_critics,82.0,0,-64.11018156237846,51.12616375241613,6
roma,rt_all_critics,96.0,0,-75.05582231693087,59.855020978438404,6
a star is born,rt_all_critics,90.0,0,-70.36483342212269,56.114082167286,6
vice,rt_all_critics,66.0,1,-51.60087784288997,41.1503269226764,6
black panther,rt_top_critics,100.0,1,0.0,100.0,0
blackkklansman,rt_top_critics,100.0,1,0.0,100.0,0
bohemian rhapsody,rt_top_critics,48.0,0,0.0,48.0,0
the favourite,rt_top_critics,98.0,1,0.0,98.0,0
green book,rt_top_critics,80.0,0,0.0,80.0,0
roma,rt_top_critics,98.0,1,0.0,98.0,0
a star is born,rt_top_critics,96.0,1,0.0,96.0,0
vice,rt_top_critics,59.0,0,0.0,59.0,0
black panther,rt_audience_score,79.0,0,61.76468711497434,49.25569434683995,1
blackkklansman,rt_audience_score,82.0,0,64.11018156237843,51.126163752416154,1
bohemian rhapsody,rt_audience_score,89.0,1,69.58300193965464,55.49059236542729,1
the favourite,rt_audience_score,62.0,0,48.47355191301784,38.65636771524148,1
green book,rt_audience_score,95.0,1,74.27399083446282,59.23153117657969,1
roma,rt_audience_score,83.0,0,64.89201304484646,51.749653554274886,1
a star is born,rt_audience_score,80.0,0,62.54651859744237,49.879184148698684,1
vice,rt_audience_score,55.0,0,43.000731535741636,34.291939102230344,1
black panther,median_age,62.0,0,0.0,0.0,0
blackkklansman,median_age,62.0,0,0.0,0.0,0
bohemian rhapsody,median_age,62.0,0,0.0,0.0,0
the favourite,median_age,62.0,0,0.0,0.0,0
green book,median_age,62.0,0,0.0,0.0,0
roma,median_age,62.0,0,0.0,0.0,0
a star is born,median_age,62.0,0,0.0,0.0,0
vice,median_age,62.0,0,0.0,0.0,0
