movie,variable,value,max,x_radar,y_radar,index_radar,index_radar_2
a star is born,imdb_18,85.0,1,-82.86887253545501,-18.914279386286665,0,1
a star is born,imdb_18,85.0,1,-66.45567600978254,52.996633157992335,1,2
a star is born,imdb_18,85.0,1,0.0,0.0,2,3
a star is born,imdb_18_29,81.0,0,-35.1445828685222,-72.97847830009596,0,4
a star is born,imdb_18_29,81.0,0,-78.96916088672772,-18.02419565046141,1,5
a star is born,imdb_18_29,81.0,0,0.0,0.0,2,6
a star is born,imdb_30_44,78.0,0,33.84293165116954,-70.27557169638868,0,7
a star is born,imdb_30_44,78.0,0,-33.84293165116952,-70.2755716963887,1,8
a star is born,imdb_30_44,78.0,0,0.0,0.0,2,9
a star is born,imdb_45,78.0,0,76.04437715018224,-17.35663284859252,0,10
a star is born,imdb_45,78.0,0,33.84293165116954,-70.27557169638868,1,11
a star is born,imdb_45,78.0,0,0.0,0.0,2,12
a star is born,median_age,62.0,0,0.0,0.0,0,13
a star is born,rt_all_critics,90.0,0,-70.36483342212269,56.114082167286,0,14
a star is born,rt_all_critics,90.0,0,-2.2043642384652358e-14,90.0,1,15
a star is born,rt_all_critics,90.0,0,0.0,0.0,2,16
a star is born,rt_audience_score,80.0,0,62.54651859744237,49.879184148698684,0,17
a star is born,rt_audience_score,80.0,0,77.9942329745459,-17.801674716505147,1,18
a star is born,rt_audience_score,80.0,0,0.0,0.0,2,19
a star is born,rt_top_critics,96.0,1,0.0,96.0,0,20
a star is born,rt_top_critics,96.0,1,75.05582231693086,59.855020978438425,1,21
a star is born,rt_top_critics,96.0,1,0.0,0.0,2,22
black panther,imdb_18,80.0,1,-77.9942329745459,-17.801674716505097,0,1
black panther,imdb_18,80.0,1,-62.54651859744239,49.87918414869867,1,2
black panther,imdb_18,80.0,1,0.0,0.0,2,3
black panther,imdb_18_29,75.0,0,-32.54128043381685,-67.57266509268143,0,4
black panther,imdb_18_29,75.0,0,-73.11959341363678,-16.68907004672353,1,5
black panther,imdb_18_29,75.0,0,0.0,0.0,2,6
black panther,imdb_30_44,71.0,0,30.805745477346633,-63.96878962107175,0,7
black panther,imdb_30_44,71.0,0,-30.80574547734662,-63.96878962107176,1,8
black panther,imdb_30_44,71.0,0,0.0,0.0,2,9
black panther,imdb_45,71.0,0,69.21988176490947,-15.798986310898318,0,10
black panther,imdb_45,71.0,0,30.805745477346633,-63.96878962107175,1,11
black panther,imdb_45,71.0,0,0.0,0.0,2,12
black panther,median_age,62.0,0,0.0,0.0,0,13
black panther,rt_all_critics,97.0,0,-75.83765379939891,60.478510780297135,0,14
black panther,rt_all_critics,97.0,0,-2.3758147903458653e-14,97.0,1,15
black panther,rt_all_critics,97.0,0,0.0,0.0,2,16
black panther,rt_audience_score,79.0,0,61.76468711497434,49.25569434683995,0,17
black panther,rt_audience_score,79.0,0,77.01930506236407,-17.579153782548833,1,18
black panther,rt_audience_score,79.0,0,0.0,0.0,2,19
black panther,rt_top_critics,100.0,1,0.0,100.0,0,20
black panther,rt_top_critics,100.0,1,78.18314824680297,62.34898018587336,1,21
black panther,rt_top_critics,100.0,1,0.0,0.0,2,22
blackkklansman,imdb_18,81.0,1,-78.96916088672772,-18.02419565046141,0,1
blackkklansman,imdb_18,81.0,1,-63.32835007991042,50.5026739505574,1,2
blackkklansman,imdb_18,81.0,1,0.0,0.0,2,3
blackkklansman,imdb_18_29,77.0,0,-33.40904791205197,-69.37460282848627,0,4
blackkklansman,imdb_18_29,77.0,0,-75.06944923800043,-17.134111914636158,1,5
blackkklansman,imdb_18_29,77.0,0,0.0,0.0,2,6
blackkklansman,imdb_30_44,74.0,0,32.10739669469931,-66.67169622477901,0,7
