Australia,Fox,12/27/18,"$617,187 ",23.90%,"$2,582,271 ",1/20/19
Iceland,Sena,1/25/19,"$1,462 ",17.40%,"$8,400 ",1/27/19
Lithuania,Fox,1/18/19,"$18,427 ",43.50%,"$42,332 ",1/27/19
Netherlands,Fox,1/3/19,"$326,745 ",26.30%,"$1,244,436 ",1/20/19
New Zealand,Fox,12/26/18,"$78,142 ",19.80%,"$394,477 ",1/20/19
Norway,Fox,1/18/19,"$68,212 ",27.70%,"$246,088 ",1/27/19
Slovenia,Blitz,1/10/19,"$2,834 ",17.80%,"$15,932 ",1/20/19
Spain,Fox,1/18/19,"$665,982 ",100%,"$665,982 ",1/20/19
United Kingdom,Fox,1/4/19,-,-,"$14,143,910 ",1/20/19
Uruguay,Life,1/17/19,"$12,729 ",73.90%,"$17,234 ",1/20/19
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
